f,k,variation
0.007,0.043,1.7803921568627388
0.007,0.0433,0.0
0.007,0.0435,499.9686274509804
0.007,0.0438,260.8156862745098
0.007,0.044,520.7019607843138
0.007,0.0442,1.3647058823529363
0.007,0.0445,568.6313725490196
0.007,0.0447,617.9176470588235
0.007,0.045,459.1921568627451
0.007,0.0452,602.0588235294117
0.007,0.0455,495.9294117647059
0.007,0.0457,542.5098039215686
0.007,0.046,425.4627450980392
0.007,0.0462,644.6549019607844
0.007,0.0465,599.0392156862745
0.007,0.0467,486.8627450980392
0.007,0.047,483.035294117647
0.007,0.0473,396.5176470588235
0.007,0.0475,476.24313725490197
0.007,0.0478,2.2509803921568547
0.007,0.048,1.17647058823529
0.007,0.0483,2.329411764705874
0.007,0.0485,1.8313725490196013
0.007,0.0488,1.4274509803921518
0.007,0.049,1.4862745098039163
0.007,0.0493,1.4196078431372499
0.007,0.0495,1.3176470588235247
0.007,0.0498,1.513725490196073
0.007,0.05,1.8039215686274446
0.007,0.0503,1.2705882352941131
0.007,0.0505,1.3490196078431325
0.007,0.0508,1.3333333333333286
0.007,0.051,1.2392156862745054
0.007,0.0513,1.2705882352941131
0.007,0.0515,1.278431372549015
0.007,0.0518,1.4901960784313673
0.007,0.052,1.6862745098039156
0.007,0.0522,1.6549019607843078
0.007,0.0525,1.286274509803917
0.007,0.0527,1.4352941176470537
0.007,0.053,1.2392156862745054
0.007,0.0532,1.3098039215686228
0.007,0.0535,1.2235294117647015
0.007,0.0537,1.2627450980392112
0.007,0.054,1.3019607843137209
0.007,0.0542,1.3647058823529363
0.007,0.0545,1.517647058823524
0.007,0.0548,1.2627450980392112
0.007,0.055,1.3333333333333286
0.007,0.0553,1.3333333333333286
0.007,0.0555,1.3098039215686228
0.007,0.0558,1.4509803921568576
0.007,0.056,1.1921568627450938
0.007,0.0563,1.8549019607843071
0.007,0.0565,1.3725490196078383
0.007,0.0568,1.2549019607843093
0.007,0.057,1.168627450980388
0.007,0.0573,1.4509803921568576
0.007,0.0575,1.2705882352941131
0.007,0.0578,1.3333333333333286
0.007,0.058,1.513725490196073
0.007,0.0583,1.3019607843137209
0.007,0.0585,1.3725490196078383
0.007,0.0588,1.3568627450980344
0.007,0.059,1.4901960784313673
0.007,0.0593,1.3725490196078383
0.007,0.0595,1.2078431372548977
0.007,0.0598,1.3176470588235247
0.007,0.06,1.2549019607843093
0.007,0.0602,1.3176470588235247
0.007,0.0605,1.3098039215686228
0.007,0.0607,1.2705882352941131
0.007,0.061,1.286274509803917
0.007,0.0612,1.3333333333333286
0.007,0.0615,1.294117647058819
0.007,0.0617,1.294117647058819
0.007,0.062,1.2705882352941131
0.007,0.0622,1.3450980392156815
0.007,0.0625,1.3098039215686228
0.007,0.0628,1.1921568627450938
0.007,0.063,1.4509803921568576
0.007,0.0633,1.3568627450980344
0.007,0.0635,1.5607843137254847
0.007,0.0638,1.4196078431372499
